data:text/csv;charset=utf-8,"sep=,"
Game ID, Name, Image, Year Published, Price, Artists, Designers, Primary Family, Other Families, Categories, Mechanics, BGG Rating, User Rating, Complexity, Language Level, Play Time, Minimum Age, Recommended Min Age, Minimum Players, Maximum Players, Minimum Players (Base Game), Maximum Players (Base Game), Best with x Number of Players, Recommended with x Number of Players, Number of Plays, BGG Rank, Owners, Type
320778,"Draftosaurus: Aerial Show","https://cf.geekdo-images.com/x5LSE9eaoxNI00bKoZGDwg__original/img/7OGzvdpE1sH5jftfy75PeaCe2G4=/0x0/filters:format(png)/pic5685940.png",2020,Unknown,"Jiahui Eva Gao,Roman Kucharski","Antoine Bauza,Corentin Lebrat,Ludovic Maublanc,Théo Rivière","","Animals: Dinosaurs,Components: Meeples (Dinosaur) / Dinomeeples,Digital Implementations: Board Game Arena,Organizations: Forgenext","Expansion for Base-game,Animals","Closed Drafting,Dice Rolling,Set Collection,Simultaneous Action Selection",7.1,"Not Rated",1.4,1,15 - 20,8,8,2,5,2,5,"4","2,3,4,5","0",Unknown,"",Expansion,
318382,"Draftosaurus: Goodie Tile","https://cf.geekdo-images.com/44ncFYtxZBHswmCh9XPd4A__original/img/eZ-uxUA9fpG6g9C7PUecBlKJd9o=/0x0/filters:format(jpeg)/pic5715591.jpg",2020,Unknown,"Roman Kucharski","","","Animals: Dinosaurs,Organizations: Forgenext","Expansion for Base-game","Closed Drafting,Dice Rolling,Set Collection,Simultaneous Action Selection",7.2,"Not Rated",1.2,Unknown,15,8,8,2,5,2,5,"2,4","2,3,4,5","0",Unknown,"",Expansion,
320777,"Draftosaurus: Marina","https://cf.geekdo-images.com/8GhdbqkSMeVJRw0EOn2QUg__original/img/nsk6-ny1e-0Emv5_MLvqfD92h7I=/0x0/filters:format(png)/pic5685952.png",2020,Unknown,"Jiahui Eva Gao,Roman Kucharski","Antoine Bauza,Corentin Lebrat,Ludovic Maublanc,Théo Rivière","","Animals: Dinosaurs,Components: Meeples (Dinosaur) / Dinomeeples,Digital Implementations: Board Game Arena,Organizations: Forgenext","Expansion for Base-game,Animals","Closed Drafting,Dice Rolling,Set Collection,Simultaneous Action Selection",7.3,"Not Rated",1.4,1,15 - 20,8,8,2,5,2,5,"3,4","2,3,4,5","0",Unknown,"",Expansion,
232219,"Dragon Castle","https://cf.geekdo-images.com/LvBG5jXW8ZFyllrbyJme-A__original/img/u8VQUhndzJDGh1EWdLx4FdsAnWE=/0x0/filters:format(png)/pic3683059.png",2017,Unknown,"Cinyee Chiu","Hjalmar Hach,Luca Ricci,Lorenzo Silva","Abstract Game,Family Game","Country: China,Digital Implementations: Board Game Arena,Digital Implementations: Google Play,Digital Implementations: Steam,Digital Implementations: Tabletopia,Game: Dragon Castle,Players: Games with expansions that add solo play,Players: Games with Solitaire Rules,Traditional Games: Mahjong","Abstract Strategy","End Game Bonuses,Layering,Open Drafting,Pattern Building,Pattern Recognition,Tile Placement,Variable Player Powers,Variable Set-up",7.1,"Not Rated",2.0,1,30 - 45,8,8,1,4,1,4,"2","2,3,4","0",910,"excali8ur",Base Game,
449349,"Dragon Scrolls","https://cf.geekdo-images.com/Fj71n7AuHnMGal6QdzPhJg__original/img/uu0Twvro7eMZY4AfQ6g6Otl-9-E=/0x0/filters:format(jpeg)/pic8969610.jpg",2026,Unknown,"Alan Gomes","Mark Jambeck","","Admin: Upcoming Releases,Creatures: Dragons","Card Game,Fantasy","Betting and Bluffing,Chaining,Closed Drafting,Matching,Push Your Luck,Set Collection",7.5,"Not Rated",1.0,Unknown,5 - 10,8,Unknown,2,5,2,5,"","","1",Unknown,"",Base Game,
235655,"Dragon's Breath","https://cf.geekdo-images.com/CNKb5AGuOvx6VlbWQEV7wQ__original/img/OV3AWRelBb93_is3fzIp6Db81o8=/0x0/filters:format(jpeg)/pic5220396.jpg",2017,Unknown,"Daniel Döbner","Günter Burkhardt,Lena Burkhardt","Children's Game","Components: Game Box Used In Play,Components: Gems/Crystals,Creatures: Dragons,Misc: LongPack Games,Series: Mitbringspiele M (HABA)","Action / Dexterity,Animals,Children's Game,Fantasy","Open Drafting,Physical Removal,Set Collection",6.6,"Not Rated",1.0,1,15 - 20,5,4,2,4,2,4,"3,4","2,3,4","3",3265,"excali8ur",Base Game,
285529,"Dragon's Breath: The Hatching","https://cf.geekdo-images.com/vGjq34IwVPB6i7hQ_GaKFA__original/img/1G4KeOaja6louTx31PVlozcTkss=/0x0/filters:format(jpeg)/pic4889626.jpg",2019,Unknown,"Daniel Döbner","Günter Burkhardt,Lena Burkhardt,Annemarie Hölscher","","Creatures: Dragons,Misc: LongPack Games,Series: Mitbringspiele S (HABA)","Animals,Children's Game","Storytelling",6.1,"Not Rated",1.0,Unknown,20,6,5,2,4,2,4,"4","3,4","4",17771,"excali8ur",Base Game,
350064,"Dreadful Meadows","https://cf.geekdo-images.com/s7mNB71_BOrFzJ5_7Lvr1A__original/img/XAKk1px57BkyZTrILWaKE99KEsc=/0x0/filters:format(png)/pic6971763.png",2023,Unknown,"Paul M Tobin,Claire Tobin","Lukus Adam","","Crowdfunding: Kickstarter,Digital Implementations: Tabletopia,Holidays: Halloween","Economic,Farming","Contracts,Market,Solo / Solitaire Game,Tile Placement,Variable Player Powers,Worker Placement",7.3,"Not Rated",2.5,2,30 - 60,13,10,1,4,1,4,"3","1,2,3,4","2",3923,"excali8ur",Base Game,
308028,"Drop Drive","https://cf.geekdo-images.com/NNgI48h6AfdkmGruM_s5kA__original/img/mOtZunEAyS0D092vZn3OJ71L1nc=/0x0/filters:format(png)/pic7592275.png",2023,Unknown,"Gong Studios","Scott R. Smith","","Misc: LongPack Games,Players: Games with expansions that change player count","Science Fiction,Space Exploration","End Game Bonuses,Events,Pattern Movement,Pick-up and Deliver,Set Collection,Variable Set-up",7.4,"Not Rated",2.1,Unknown,45 - 60,8,8,2,5,2,4,"3,4","2,3,4","2",7884,"excali8ur",Base Game,
413803,"Drop Drive: 5th Captain Pack","https://cf.geekdo-images.com/S9ASIsFFbkq9t_Lpd3wtyg__original/img/nxSDFWkL6xJx5740CX9c_5X00DE=/0x0/filters:format(png)/pic8056507.png",0,Unknown,"","","","Players: Expansions Changing Player Count","Expansion for Base-game","",7.8,"Not Rated",0.0,Unknown,0,Unknown,Unknown,2,5,2,5,"","","0",Unknown,"excali8ur",Expansion,
413300,"Drop Drive: Limited Promo Pack (2021)","https://cf.geekdo-images.com/A5aCgeNSRNYFDhk7_Q7ccg__original/img/eWYx_UaYFPV2sfl1fS8YBRHN7N4=/0x0/filters:format(jpeg)/pic8008692.jpg",2023,Unknown,"","","","","Adventure,Expansion for Base-game,Exploration,Fighting,Science Fiction,Space Exploration","Betting and Bluffing,Events,Push Your Luck,Roles with Asymmetric Information",7.9,"Not Rated",0.0,Unknown,45 - 60,8,Unknown,2,4,2,4,"","","0",Unknown,"excali8ur",Expansion,
404232,"Drop Drive: Strange Signals","https://cf.geekdo-images.com/b1mmCvG1ivl8kOax_kcn4A__original/img/2CfOYVkdTIeE5HrHk1CB8dlpnqw=/0x0/filters:format(png)/pic7815736.png",2023,Unknown,"Gong Studios","Scott R. Smith","","","Expansion for Base-game,Adventure,Dice,Exploration,Movies / TV / Radio theme,Science Fiction,Space Exploration","Events,Market,Rondel,Scenario / Mission / Campaign Game,Semi-Cooperative Game,Simulation",8.1,"Not Rated",0.0,Unknown,45 - 60,8,Unknown,2,4,2,4,"","","0",Unknown,"excali8ur",Expansion,
475466,"Drops of Evil","https://cf.geekdo-images.com/FbTTS-grB-4v8ubDlpqRsA__original/img/RxYADCpQynamlZQtCGnPdGWy0fw=/0x0/filters:format(jpeg)/pic9707213.jpg",2026,Unknown,"Weberson Santiago","Hjalmar Hach,Lorenzo Silva","","Admin: Better Description Needed!,Admin: Upcoming Releases,Theme: Witches","Abstract Strategy,Horror,Puzzle","Pattern Building,Square Grid,Worker Placement,Worker Placement, Different Worker Types",0.0,"Not Rated",0.0,Unknown,60,12,Unknown,2,4,2,4,"","","0",Unknown,"",Base Game,
422019,"Duck & Cover","https://cf.geekdo-images.com/u6FSdD7Whz3YO0D4R96jKQ__original/img/fW93d24U5Rknba53QIlryN2rCbc=/0x0/filters:format(png)/pic8403387.png",2024,Unknown,"Adrien Journel","Oussama Khelifati","Family Game","Animals: Ducks,Organizations: Forgenext,Players: Games with expansions that change player count","Animals,Card Game,Party Game","Bingo,Layering,Score-and-Reset Game,Simultaneous Action Selection",6.7,"Not Rated",1.0,1,15 - 20,8,6,2,7,2,7,"4,5,6","2,3,4,5,6,7","3",2897,"",Base Game,
447243,"Duel for Cardia","https://cf.geekdo-images.com/e-Xx7mz_tgisEx2Aq4Wa6w__original/img/pe7roKL2-gtXSvGIzHBiXzb0yzk=/0x0/filters:format(png)/pic8910865.png",2025,Unknown,"Florian Herold,Qistina Khalidah,Dominik Mayer,Ingram Schell,Jonas Schmutzler","Faouzi Boughida,Mathieu Rivero","Strategy Game,Family Game","Admin: Better Description Needed!,Card Games: Lane Battler,Digital Implementations: Board Game Arena,Game: Cardia,Organizations: Forgenext,Players: Games with expansions that change player count,Players: Two-Player Only Games","Card Game,Fantasy","Hand Management,Simultaneous Action Selection,Trick-taking",7.5,"Not Rated",1.8,3,15,9,10,2,2,2,2,"2","2","7",759,"excali8ur",Base Game,
349463,"Dungeons, Dice & Danger","https://cf.geekdo-images.com/vv4ZUP_R3RYNjrqa4yPUdA__original/img/Rb0zyry1aNrPXCrAYFQG6qanTa4=/0x0/filters:format(jpeg)/pic6616164.jpg",2022,Unknown,"Cam Kendell","Richard Garfield","Family Game","Category: Dungeon Crawler,Digital Implementations: BrettspielWelt,Mechanism: Roll-and-Write,Misc: Watch It Played How To Videos","Fantasy","Dice Rolling,Paper-and-Pencil",7.0,"Not Rated",1.9,1,45 - 60,12,10,1,4,1,4,"2","1,2,3,4","2",1790,"",Base Game,
469261,"Elementica","https://cf.geekdo-images.com/hbiqAsLbm59P-dhAS7eEeQ__original/img/-grsXZFgJAt_WnfVJlaYXOMZ5rA=/0x0/filters:format(png)/pic9550132.png",2026,Unknown,"Soragame Studio","Akashi","","Admin: Better Description Needed!","","",8.2,"Not Rated",3.0,Unknown,60 - 100,12,Unknown,1,4,1,4,"3,4","1,2,3,4","0",Unknown,"",Base Game,
186489,"Elementos","https://cf.geekdo-images.com/au5pp3lttOdwjOMoGio1kw__original/img/TB3a7wJc2VU1kMhf-B3C2JirqY8=/0x0/filters:format(jpeg)/pic2931001.jpg",2015,Unknown,"Sharon Katz","Sharon Katz","Abstract Game","Components: Wooden pieces & boards,Crowdfunding: Kickstarter,Players: Two-Player Only Games","Abstract Strategy","Grid Movement,Rock-Paper-Scissors",6.3,"Not Rated",2.0,1,15,7,8,2,2,2,2,"2","2","0",19888,"excali8ur",Base Game,
442415,"Emerald Echoes","https://cf.geekdo-images.com/FzxziXepOGzJeNuU1io5YQ__original/img/VWw90l593FLITN6ETA8WjCFDVUo=/0x0/filters:format(png)/pic8802084.png",2026,Unknown,"Jack Fallows,Liiga Klavina,Rita Orlov","Rita Orlov,Chelsea Stark","","Admin: Upcoming Releases,Category: Escape Room Games,Crowdfunding: Kickstarter,Misc: Limited Replayability,Theme: Alchemy","Adventure,Fantasy,Murder / Mystery,Puzzle","Cooperative Game,Solo / Solitaire Game,Storytelling",7.9,"Not Rated",2.7,Unknown,240,14,12,1,99,1,99,"2","1,2,3","0",14654,"",Base Game,
299371,"The Emerald Flame","https://cf.geekdo-images.com/-paEcLVl2Qvhd0U8JYFtwg__original/img/L2hiTrBhgq1otPaGNNVoeG-sUUQ=/0x0/filters:format(jpeg)/pic5239478.jpg",2021,Unknown,"Liiga Klavina,Rita Orlov","Rita Orlov","Thematic","Category: Escape Room Games,Cities: Prague (Czech Republic),Crowdfunding: Kickstarter","Adventure,Deduction,Fantasy,Murder / Mystery,Puzzle","Cooperative Game",8.3,"Not Rated",3.6,5,270 - 540,14,12,1,4,1,4,"2","1,2,3","5",3417,"excali8ur",Base Game,
400817,"Epochs: Course of Cultures","https://cf.geekdo-images.com/JxmQbo0FeleL9LWe7Mvu0g__original/img/ABP314nUlTGQwCe02xmPCaEx2HQ=/0x0/filters:format(png)/pic9017975.png",2025,Unknown,"Arepko,James Churchill,Cold Castle Studios,Daniel Cunha,Roxy Dai,Joel Holtzman,Maciej Janik,Amanda Phelps,Jelena Pjevic","Jeffrey CCH","","Admin: Upcoming Releases,Crowdfunding: Kickstarter,Digital Implementations: Tabletopia,Mechanism: 4X,Mechanism: Tableau Building,Misc: LongPack Games","Civilization,Economic,Territory Building","Hand Management,Hexagon Grid,Modular Board,Open Drafting,Variable Player Powers",8.0,"Not Rated",3.5,3,120 - 180,12,12,2,4,2,4,"3,4","2,3,4","1",4815,"excali8ur",Base Game,
412086,"Etherstone","https://cf.geekdo-images.com/K0DaAMxsEtQV7h7ac47OGQ__original/img/Lr-xBjN5Tzb45lLYwYlhTe9YGr4=/0x0/filters:format(png)/pic7986687.png",2025,Unknown,"Paolo Voto","Virginio Gigli,Simone Luciani","Customizable,Strategy Game","Crowdfunding: Kickstarter,Misc: LongPack Games","Card Game,Fantasy,Novel-based,Science Fiction","Closed Drafting,Deck, Bag, and Pool Building,Hand Management,Open Drafting,Variable Player Powers",7.6,"Not Rated",2.4,4,30 - 60,14,12,2,4,2,4,"2","2,3,4","0",2010,"",Base Game,
369897,"Everbloom","https://cf.geekdo-images.com/WInxygzJx3T8Untx1g8wQQ__original/img/X_Ls4L6MNHK0PMyUuAsNRcFJeQU=/0x0/filters:format(jpeg)/pic8052261.jpg",2025,Unknown,"PUGA Studios","Nolan Lee,Ian Moss","","Animals: Insects,Misc: LongPack Games,Theme: Flowers,Theme: Nature","Animals,Environmental,Fantasy","Area Majority / Influence,Auction / Bidding,Set Collection,Solo / Solitaire Game,Variable Player Powers,Variable Set-up",7.3,"Not Rated",2.8,Unknown,60 - 90,13,12,1,4,1,4,"3,4","2,3,4","0",11410,"",Base Game,
363307,"Evergreen","https://cf.geekdo-images.com/71I0Ku92KgjaW_ZokJidCA__original/img/idwvytJgNpT0IXRTVUUXw8AWhTE=/0x0/filters:format(png)/pic6872745.png",2022,Unknown,"Wenyi Geng","Hjalmar Hach","Family Game","Digital Implementations: Apple App Store,Digital Implementations: Board Game Arena,Digital Implementations: Google Play,Digital Implementations: Steam,Players: Games with Solitaire Rules,Theme: Nature,Theme: Trees and Forests","Environmental,Puzzle","Bias,End Game Bonuses,Grid Coverage,Open Drafting,Tech Trees / Tech Tracks",7.5,"Not Rated",2.1,1,45,8,10,1,4,1,4,"2","1,2,3,4","9",841,"excali8ur",Base Game,
448442,"Evergreen: Cherry Blossoms and Bamboo","https://cf.geekdo-images.com/r7rY8x-d7lDUyMuvg1toGA__original/img/3U8jE9M2r-WXBTYsFENAOLzYZRM=/0x0/filters:format(jpeg)/pic8954676.jpg",2025,Unknown,"Wenyi Geng,Giulia Ghigini","Hjalmar Hach","","Theme: Nature,Theme: Trees and Forests","Expansion for Base-game","Bias,End Game Bonuses,Open Drafting",8.1,"Not Rated",0.0,Unknown,45 - 60,8,Unknown,1,4,1,4,"","","0",Unknown,"excali8ur",Expansion,
372323,"Evergreen: Essen 2022 Promo Card","https://cf.geekdo-images.com/xI7ukRLSVV-eTiynXHloFQ__original/img/rgCP89t84ty9t2YoaQsrd8RDHvA=/0x0/filters:format(png)/pic7131115.png",2022,Unknown,"Wenyi Geng","Hjalmar Hach","","","Expansion for Base-game","",7.5,"Not Rated",0.0,Unknown,45 - 0,8,Unknown,1,4,1,4,"","","0",Unknown,"excali8ur",Expansion,
429028,"Evergreen: Giant Trees and Mushrooms","https://cf.geekdo-images.com/YBQku52meWGcNokqII51MQ__original/img/N2jtj6QkshhfeDTdJbGz4RODQ8c=/0x0/filters:format(png)/pic8428692.png",2024,Unknown,"Wenyi Geng","Hjalmar Hach","","Theme: Mushrooms,Theme: Nature,Theme: Trees and Forests","Expansion for Base-game","Bias,End Game Bonuses,Open Drafting",8.0,"Not Rated",2.0,1,45,8,10,1,4,1,4,"2","2","0",Unknown,"excali8ur",Expansion,
400944,"Evergreen: Pines and Cacti","https://cf.geekdo-images.com/wkKLmhmHcV57eEdzAze94w__original/img/Oye66n3NC-mvwX0DuNz1G9be2TE=/0x0/filters:format(jpeg)/pic7744715.jpg",2023,Unknown,"Wenyi Geng","Hjalmar Hach","","Theme: Cacti and Succulents,Theme: Nature,Theme: Trees and Forests","Expansion for Base-game,Puzzle","Bias,End Game Bonuses,Open Drafting",7.9,"Not Rated",2.3,Unknown,45,8,8,1,4,1,4,"2","1,2,3,4","0",Unknown,"excali8ur",Expansion,
371932,"Explorers of Navoria","https://cf.geekdo-images.com/ytFv6aVdLQ4rNWxTlZhHlQ__original/img/M8rm24-ZpNTfkzSwpY2svdm-nAA=/0x0/filters:format(png)/pic7598950.png",2024,Unknown,"Meng Chunlin","Meng Chunlin","Strategy Game","Components:  Meeples,Components: Meeples (Animal) / Animeeples,Crowdfunding: Kickstarter,Players: Games with expansions that add solo play,Players: Games with expansions that change player count","Adventure,Exploration,Fantasy","Action Drafting,End Game Bonuses,Income,Set Collection,Track Movement,Worker Placement, Different Worker Types",7.5,"Not Rated",2.3,1,40 - 80,12,8,1,5,2,4,"3","2,3,4","1",1257,"",Base Game,
411026,"Explorers of Navoria: Forgotten Lands","https://cf.geekdo-images.com/OgopsX_z4SgATqdUGYoMVQ__original/img/bba0Yz4xWhe4Mgft58g-_qQi8bU=/0x0/filters:format(jpeg)/pic7955033.jpg",2024,Unknown,"Meng Chunlin","Meng Chunlin","","Crowdfunding: Kickstarter,Players: Expansions Adding Solo Play,Players: Expansions Changing Player Count","Expansion for Base-game,Exploration,Fantasy","Action Drafting,End Game Bonuses,Solo / Solitaire Game,Track Movement,Variable Player Powers,Variable Set-up,Worker Placement, Different Worker Types",7.7,"Not Rated",2.7,1,40 - 80,12,10,1,5,1,5,"3","1,2,3,4,5","0",Unknown,"",Expansion,
385761,"Faraway","https://cf.geekdo-images.com/u1cwi9BWSKsPxSkVO0BzbA__original/img/jTY6_PRF6FrUgInfMajzobVy0S8=/0x0/filters:format(png)/pic7570101.png",2023,Unknown,"Maxime Morin","Johannes Goupy,Corentin Lebrat","Family Game","Digital Implementations: Board Game Arena,Digital Implementations: Game Park,Digital Implementations: TableTop Simulator Mod (TTS),Digital Implementations: Tabletopia,Game: Faraway,Mechanism: Card Line,Players: Games with expansions that change player count","Card Game,Fantasy,Puzzle","Constrained Bidding,End Game Bonuses,Hand Management,Open Drafting,Selection Order Bid,Set Collection,Simultaneous Action Selection,Tags",7.5,"Not Rated",1.9,1,25,10,10,2,7,2,6,"2,3","2,3,4,5","5",254,"excali8ur",Base Game,
425029,"Faraway: People From Below","https://cf.geekdo-images.com/IAm2HJ23ikP6ixbm3Cbcbw__original/img/gs8wZCRecDoc29xB8OJF8Cg-ROI=/0x0/filters:format(jpeg)/pic8557413.jpg",2024,Unknown,"Maxime Morin","Johannes Goupy,Corentin Lebrat","","Digital Implementations: Board Game Arena,Digital Implementations: Game Park,Digital Implementations: TableTop Simulator Mod (TTS),Game: Faraway,Players: Expansions Changing Player Count","Expansion for Base-game,Adventure,Card Game,Fantasy","Contracts,Open Drafting,Set Collection,Simultaneous Action Selection",7.8,"Not Rated",1.9,1,25,10,6,2,7,2,7,"2,3,4,5","2,3,4,5,6","0",Unknown,"excali8ur",Expansion,
451708,"Faraway: Under Starry Skies","https://cf.geekdo-images.com/dCc29ngMNPfMSgWDS2OcEw__original/img/8fKyeBbZa3guH9SHhXN005yOSuQ=/0x0/filters:format(jpeg)/pic9344596.jpg",2026,Unknown,"Maxime Morin","Johannes Goupy,Corentin Lebrat","","Admin: Upcoming Releases,Digital Implementations: Game Park,Game: Faraway,Mechanism: Tableau Building","Expansion for Base-game,Card Game,Fantasy","Constrained Bidding,End Game Bonuses,Hand Management,Open Drafting,Selection Order Bid,Set Collection,Simultaneous Action Selection,Tags,Turn Order: Auction",7.7,"Not Rated",2.1,1,15 - 30,10,8,2,6,2,6,"2,3,4,5","2,3,4,5","0",Unknown,"",Expansion,
438442,"Feya's Swamp","https://cf.geekdo-images.com/lxzo9PekKd4TRyBUlLH7Yw__original/img/5ofkerciKc8XsWYgejw3xTK0AkE=/0x0/filters:format(png)/pic8703614.png",2025,Unknown,"Mihajlo Dimitrievski","Helge Ostertag,Anselm Ostertag","Strategy Game","Theme: Anthropomorphic Animals,Theme: Wetlands / Swamps / Bogs / Fens / Marshland","Animals,Civilization,Economic,Fantasy,Territory Building","Area Movement,End Game Bonuses,Hexagon Grid,Income,Roles with Asymmetric Information,Tile Placement,Variable Player Powers,Worker Placement",7.6,"Not Rated",3.2,1,80 - 100,12,14,2,4,2,4,"4","2,3,4","0",1746,"",Base Game,
347703,"First Rat","https://cf.geekdo-images.com/TAmP5w8gDSXe7APvp8tMVw__original/img/sxlrsxj497dHDrWywWCKOL_senY=/0x0/filters:format(jpeg)/pic6502612.jpg",2022,Unknown,"Dennis Lohausen","Gabriele Ausiello,Virginio Gigli","Strategy Game,Family Game","Animals: Rats,Category: Combinatorial,Misc: LongPack Games,Players: Games with Solitaire Rules,Space: Earth's Moon,Theme: Trash / Garbage","Adventure,Animals,Humor,Space Exploration","Point to Point Movement,Set Collection,Solo / Solitaire Game",7.5,"Not Rated",2.3,1,30 - 75,10,10,1,5,1,5,"3,4","1,2,3,4,5","2",715,"",Base Game,
457742,"Flame & Forge","https://cf.geekdo-images.com/0Hz2ToY7DQtBWrd1Hznhqw__original/img/omFR7kaDkvDYXyGtX6w0TlKeVno=/0x0/filters:format(png)/pic9219125.png",2026,Unknown,"Luís Brueh","Luís Brueh","","Admin: Upcoming Releases,Creatures: Dragons,Creatures: Dwarves & Gnomes,Crowdfunding: Kickstarter,Series: Dwar7s","Fantasy,Medieval","Cooperative Game,Deck, Bag, and Pool Building,Push Your Luck,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Tech Trees / Tech Tracks,Variable Player Powers,Variable Set-up,Worker Placement,Worker Placement, Different Worker Types",7.9,"Not Rated",2.0,1,45 - 60,14,8,1,4,1,4,"1,2,3","1,2,3,4","0",Unknown,"",Base Game,
336986,"Flamecraft","https://cf.geekdo-images.com/EvGtnsBDcfnKiqSiXHothQ__original/img/7yj8nA0ObuZ1w5AYCThEOK6meWA=/0x0/filters:format(jpeg)/pic6605448.jpg",2022,Unknown,"Sandara Tang","Manny Vega","Strategy Game,Family Game","Components: Game Trayz Inside,Creatures: Dragons,Crowdfunding: Kickstarter,Series: Flamecraft,Theme: Anthropomorphic Animals,Theme: Pets / Companion Animals","Animals,Card Game,City Building,Fantasy","Contracts,End Game Bonuses,Hand Management,Modular Board,Multi-Use Cards,Set Collection,Solo / Solitaire Game,Tags,Worker Placement",7.4,"Not Rated",2.2,3,60,10,8,1,5,1,5,"3","1,2,3,4,5","5",408,"excali8ur",Base Game,
363204,"FLOE","https://cf.geekdo-images.com/OVGfbJL6TJDaGzNDlGa6sA__original/img/v0JJ_Xeu8f5VeEPsUwkU0F7iafU=/0x0/filters:format(jpeg)/pic7907058.jpg",2026,Unknown,"Andrew Bosley","Henry Audubon,Jonny Pac,Yoma","Thematic,Family Game","Admin: Better Description Needed!,Admin: Upcoming Releases,Crowdfunding: Kickstarter,Players: Games with Solitaire Rules,Region: Arctic,Theme: Anthropomorphic Animals","Adventure,Animals,Exploration,Fantasy","Action Points,Area Movement,Contracts,Critical Hits and Failures,Hidden Victory Points,Mancala,Modular Board,Solo / Solitaire Game,Tags,Variable Player Powers",7.1,"Not Rated",3.0,3,60 - 90,10,Unknown,1,4,1,4,"3","2,3,4","0",13913,"",Base Game,
317859,"Forests of Pangaia","https://cf.geekdo-images.com/8XCJExd_Oj1aLMxJkopdBg__original/img/pAYbekQLyPYr2ID1vPp2QARDlE4=/0x0/filters:format(jpeg)/pic7421954.jpg",2023,Unknown,"Marcel Domke,Chris Karbach,Anna Meshchanova,Paperhead","Thomas Franken","Strategy Game","Crowdfunding: Kickstarter,Theme: Nature,Theme: Trees and Forests","Fantasy,Territory Building","Area Majority / Influence,Pattern Building,Set Collection,Victory Points as a Resource",7.2,"Not Rated",2.4,1,40 - 60,14,10,1,4,1,4,"3","2,3,4","2",3321,"excali8ur",Base Game,
416059,"Gardlings","https://cf.geekdo-images.com/fUOKaaWYVnBagDKj4AQb2Q__original/img/hatQoun0oFaitZLGBDsJqDXbFTM=/0x0/filters:format(jpeg)/pic8075053.jpg",2024,Unknown,"Gjermund Bohne","Kristian Amundsen Østby,Maria Østby","","Players: Games with Solitaire Rules,Theme: Gardening","Fantasy,Farming,Puzzle","Deck, Bag, and Pool Building,Push Your Luck,Tile Placement",7.2,"Not Rated",1.6,Unknown,20 - 45,8,8,1,4,1,4,"4","1,2,3,4","0",4171,"",Base Game,
285028,"Geek Out! Disney","https://cf.geekdo-images.com/bDgHusHCH-sEQtIMxyZNhA__original/img/Kym-ZB6LSS7meUvQYelYImoWHNU=/0x0/filters:format(jpeg)/pic4861320.jpg",2019,Unknown,"Jessica R. Eyler","Sean Fletcher,Dan Rowen,Elisa Teague","","Brands: Disney,Game: Geek Out!","Card Game,Party Game,Trivia","Auction / Bidding,Dice Rolling",6.5,"Not Rated",1.0,Unknown,30,10,Unknown,2,99,2,99,"","","1",18686,"excali8ur",Base Game,
331808,"The Girl Who Made The Stars","https://cf.geekdo-images.com/mB-dZqQmYHNaZtGBchJ_xA__original/img/rywu2-UzLQpcL0aBv0IoFvhzrG4=/0x0/filters:format(jpeg)/pic6004321.jpg",2023,Unknown,"Lamaro Smith","John Shulters","","Crowdfunding: Kickstarter","Abstract Strategy,Mythology","End Game Bonuses,Pattern Building,Set Collection,Tile Placement,Worker Placement",6.7,"Not Rated",2.3,Unknown,60,14,Unknown,1,4,1,4,"4","3,4","2",11882,"excali8ur",Base Game,
291549,"Go Slow!","https://cf.geekdo-images.com/mG69-rQ7yUTekuXpOuCA4w__original/img/Xy9pb_11rZ7D1VJLkPr9iH9Pbd8=/0x0/filters:format(jpeg)/pic4995961.jpg",2020,Unknown,"Gediminas Akelaitis","Felix Beukemann","","","Animals,Card Game,Children's Game","",6.7,"Not Rated",1.0,1,15 - 20,4,4,2,4,2,4,"4","2,4","1",14421,"excali8ur",Base Game,
447306,"Gods & Mortals","https://cf.geekdo-images.com/S7sTSwvkxpgxvcsMt9tcog__original/img/s1rFiQppjZ62NGhtsXcXhhQBMeM=/0x0/filters:format(jpeg)/pic8991293.jpg",2026,Unknown,"Revujo","William Borg Barthet,Artyom Nichipurov","","Admin: Better Description Needed!,Admin: Upcoming Releases,Crowdfunding: Gamefound,Digital Implementations: Tabletopia,Misc: LongPack Games,Mythology: Greek","Mythology","Hand Management,Multi-Use Cards,Stock Holding,Variable Player Powers,Victory Points as a Resource",7.0,"Not Rated",3.0,Unknown,40 - 80,14,Unknown,2,4,2,4,"3","3,4","0",20015,"",Base Game,
298383,"Golem","https://cf.geekdo-images.com/9wDd5YVER3lwpGO3v5EkTA__original/img/RtYW5lfwrLzWDI0rorp_vqI9af8=/0x0/filters:format(jpeg)/pic5374175.jpg",2021,Unknown,"Francesco Ciampi,Roberto Grasso (I)","Flaminia Brasini,Virginio Gigli,Simone Luciani","Strategy Game","Cities: Prague (Czech Republic),Components: Marbles,Digital Implementations: Tabletopia,Religious: Judaism","Fantasy,Novel-based,Renaissance","Action Drafting,Income,Set Collection,Variable Player Powers,Variable Set-up,Worker Placement",7.5,"Not Rated",4.0,1,90 - 120,14,14,1,4,1,4,"2,3","1,2,3,4","2",748,"excali8ur",Base Game,
